年份,院校名称,院校代码,科类,批次,招生类型,专业组,选科要求,录取人数,最低分数,最低分位,批次线差,学校所在,学校性质,是否985,是否211
2023,吉林工业职业技术学院,C903,综合,普通类二段,普通类,,,,375,458107,225,吉林,公办,否,否
2023,吉林工商学院,B261,综合,普通类一段,普通类,,,,485,203947,42,吉林,公办,否,否
2023,吉林工程技术师范学院,A204,综合,普通类一段,普通类,,,,484,205204,41,吉林,公办,否,否
2023,吉林工程技术师范学院,A204,综合,普通类一段,中外合作办学,,,,473,233002,30,吉林,公办,否,否
2023,吉林工程职业学院,C904,综合,普通类二段,普通类,,,,395,415505,245,吉林,公办,否,否
2023,吉林师范大学,A203,综合,普通类一段,普通类,,,,445,302956,2,吉林,公办,否,否
2023,吉林师范大学,A203,综合,普通类一段,二次志愿,,,,542,86180,99,吉林,公办,否,否
2023,吉林师范大学,A203,综合,普通类一段,中外合作办学,,,,494,180944,51,吉林,公办,否,否
2023,吉林建筑大学,A191,综合,普通类一段,普通类,,,,492,186949,49,吉林,公办,否,否
2023,吉林建筑大学,A191,综合,普通类一段,中外合作办学,,,,481,212571,38,吉林,公办,否,否
2023,吉林建筑科技学院,D604,综合,普通类一段,普通类,,,,464,256085,21,吉林,民办,否,否
2023,吉林建筑科技学院,D604,综合,普通类二段,普通类,,,,283,609517,133,吉林,民办,否,否
2023,吉林水利电力职业学院,E602,综合,普通类二段,普通类,,,,391,424616,241,吉林,公办,否,否
2023,吉林电子信息职业技术学院,C902,综合,普通类二段,普通类,,,,369,470279,219,吉林,公办,否,否
2023,吉林科技职业技术学院,E291,综合,普通类二段,普通类,,,,253,635961,103,吉林,民办,否,否
2023,吉林职业技术学院,E567,综合,普通类二段,普通类,,,,338,529068,188,吉林,民办,否,否
2023,吉林警察学院,B441,综合,普通类一段,普通类,,,,498,173641,55,吉林,公办,否,否
2023,吉林警察学院,B441,综合,普通类二段,普通类,,,,465,254051,315,吉林,公办,否,否
2023,吉林财经大学,A207,综合,普通类一段,普通类,,,,487,198588,44,吉林,公办,否,否
2023,吉林财经大学,A207,综合,普通类一段,中外合作办学,,,,503,161476,60,吉林,公办,否,否
2023,吉林通用航空职业技术学院,E743,综合,普通类二段,普通类,,,,334,537098,184,吉林,公办,否,否
2023,吉林铁道职业技术大学,,综合,普通类二段,普通类,,,,423,355500,273,吉林,公办,否,否
2023,吉首大学,A531,综合,普通类一段,普通类,,,,490,192592,47,湖南,公办,否,否
2023,同济大学,A247,综合,普通类一段,普通类,,,,651,3828,208,上海,公办,是,是
2023,吐鲁番职业技术学院,E585,综合,普通类二段,普通类,,,,341,524896,191,新疆,公办,否,否
2023,吕梁学院,A812,综合,普通类一段,普通类,,,,480,214641,37,山西,公办,否,否
2023,周口师范学院,A478,综合,普通类一段,普通类,,,,483,207672,40,河南,公办,否,否
2023,周口职业技术学院,C750,综合,普通类二段,普通类,,,,392,423541,242,河南,公办,否,否
2023,呼伦贝尔学院,A819,综合,普通类一段,普通类,,,,478,219597,35,内蒙古,公办,否,否
2023,呼伦贝尔职业技术学院,E283,综合,普通类二段,普通类,,,,326,549621,176,内蒙古,公办,否,否
2023,呼和浩特民族学院,B709,综合,普通类一段,普通类,,,,489,193923,46,内蒙古,公办,否,否
2023,呼和浩特职业技术大学,,综合,普通类二段,普通类,,,,411,380466,261,内蒙古,公办,否,否
2023,和君职业学院,E748,综合,普通类二段,普通类,,,,244,641589,94,江西,民办,否,否
2023,咸宁职业技术学院,D265,综合,普通类二段,普通类,,,,398,409053,248,湖北,公办,否,否
2023,咸阳师范学院,A722,综合,普通类一段,普通类,,,,490,190907,47,陕西,公办,否,否
2023,咸阳师范学院,A722,综合,普通类一段,中外合作办学,,,,484,206929,41,陕西,公办,否,否
2023,哈尔滨体育学院,A242,综合,普通类一段,普通类,,,,481,214152,38,黑龙江,公办,否,否
2023,哈尔滨剑桥学院,D303,综合,普通类一段,普通类,,,,462,259936,19,黑龙江,民办,否,否
2023,哈尔滨医科大学,A226,综合,普通类一段,普通类,,,,512,141573,69,黑龙江,公办,否,否
2023,哈尔滨华德学院,D307,综合,普通类一段,普通类,,,,458,270214,15,黑龙江,民办,否,否
2023,哈尔滨商业大学,A240,综合,普通类一段,普通类,,,,491,190001,48,黑龙江,公办,否,否
