院校名称,所在省,主管部门,院校层次,2025招生章程,院校主页链接,logo地址
北京联合大学,北京,北京市教育委员会,本科,"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6656051972,method-view,schId-799.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-799.dhtml,https://t1.chei.com.cn/common/xh/11417.jpg
北京城市学院,北京,北京市教育委员会,本科,"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6689129803,method-view,schId-800.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-800.dhtml,https://t1.chei.com.cn/common/xh/11418.jpg
北京青年政治学院,北京,北京市教育委员会,高职(专科),"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6657985938,method-view,schId-867.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-867.dhtml,https://t1.chei.com.cn/common/xh/11626.jpg
首钢工学院,北京,北京市教育委员会,本科,"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6650888442,method-view,schId-930.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-930.dhtml,https://t1.chei.com.cn/common/xh/11831.jpg
北京农业职业学院,北京,北京市教育委员会,高职(专科),"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6654252919,method-view,schId-1064.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1064.dhtml,https://t1.chei.com.cn/common/xh/12448.jpg
北京政法职业学院,北京,北京市教育委员会,高职(专科),"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6659812435,method-view,schId-1067.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1067.dhtml,https://t1.chei.com.cn/common/xh/12451.jpg
中国劳动关系学院,北京,中华全国总工会,本科,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1068.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1068.dhtml,https://t1.chei.com.cn/common/xh/12453.jpg
北京财贸职业学院,北京,北京市教育委员会,高职(专科),"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6656088831,method-view,schId-1095.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1095.dhtml,https://t1.chei.com.cn/common/xh/12561.jpg
北京北大方正软件职业技术学院,北京,北京市教育委员会,高职(专科),"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6656221636,method-view,schId-1098.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1098.dhtml,https://t1.chei.com.cn/common/xh/12564.jpg
北京经贸职业学院,北京,北京市教育委员会,高职(专科),"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6657119559,method-view,schId-1099.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1099.dhtml,https://t1.chei.com.cn/common/xh/12565.jpg
北京经济技术职业学院,北京,北京市教育委员会,高职(专科),"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6659375244,method-view,schId-1100.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1100.dhtml,https://t1.chei.com.cn/common/xh/12566.jpg
北京戏曲艺术职业学院,北京,北京市教育委员会,高职(专科),"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6689701455,method-view,schId-1101.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1101.dhtml,https://t1.chei.com.cn/common/xh/12567.jpg
北京汇佳职业学院,北京,北京市教育委员会,高职(专科),"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6654573357,method-view,schId-1102.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1102.dhtml,https://t1.chei.com.cn/common/xh/12568.jpg
北京科技经营管理学院,北京,北京市教育委员会,高职(专科),"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6656103378,method-view,schId-1215.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1215.dhtml,https://t1.chei.com.cn/common/xh/12733.jpg
首都师范大学科德学院,北京,北京市教育委员会,本科,"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6656407766,method-view,schId-1872.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1872.dhtml,https://t1.chei.com.cn/common/xh/13629.jpg
北京金融科技学院,北京,北京市教育委员会,本科,"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6656099164,method-view,schId-1873.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1873.dhtml,https://t1.chei.com.cn/common/xh/13630.jpg
北京科技职业学院,北京,北京市教育委员会,高职(专科),"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6656075301,method-view,schId-1943.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1943.dhtml,https://t1.chei.com.cn/common/xh/13703.jpg
北京培黎职业学院,北京,北京市教育委员会,高职(专科),"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6657774089,method-view,schId-1967.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1967.dhtml,https://t1.chei.com.cn/common/xh/13728.jpg
北京邮电大学世纪学院,北京,北京市教育委员会,本科,"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6656270317,method-view,schId-403209.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-403209.dhtml,https://t1.chei.com.cn/common/xh/13901.jpg
北京工业大学耿丹学院,北京,北京市教育委员会,本科,"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6694880998,method-view,schId-1135332.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1135332.dhtml,https://t1.chei.com.cn/common/xh/13904.jpg
北京交通职业技术学院,北京,北京市教育委员会,高职(专科),"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6657206293,method-view,schId-726.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-726.dhtml,https://t1.chei.com.cn/common/xh/13910.jpg
北京警察学院,北京,北京市教育委员会,本科,"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6694944049,method-view,schId-361153734.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-361153734.dhtml,https://t1.chei.com.cn/common/xh/14019.jpg
北京经济管理职业学院,北京,北京市教育委员会,高职(专科),"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6656112685,method-view,schId-1065.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1065.dhtml,https://t1.chei.com.cn/common/xh/14073.jpg
北京劳动保障职业学院,北京,北京市教育委员会,高职(专科),"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6656088617,method-view,schId-4291702.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-4291702.dhtml,https://t1.chei.com.cn/common/xh/14075.jpg
民政职业大学,北京,民政部,本科,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-5216757.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-5216757.dhtml,https://t1.chei.com.cn/common/xh/14139.jpg
北京艺术传媒职业学院,北京,北京市教育委员会,高职(专科),"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6656062918,method-view,schId-5350646.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-5350646.dhtml,https://t1.chei.com.cn/common/xh/14140.jpg
北京第二外国语学院中瑞酒店管理学院,北京,北京市教育委员会,本科,"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6694892232,method-view,schId-15323559.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-15323559.dhtml,https://t1.chei.com.cn/common/xh/14201.jpg
北京体育职业学院,北京,北京市教育委员会,高职(专科),"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6656088243,method-view,schId-38698136.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-38698136.dhtml,https://t1.chei.com.cn/common/xh/14215.jpg
北京交通运输职业学院,北京,北京市教育委员会,高职(专科),"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6656128857,method-view,schId-57316996.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-57316996.dhtml,https://t1.chei.com.cn/common/xh/14279.jpg
北京卫生职业学院,北京,北京市教育委员会,高职(专科),"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6654524317,method-view,schId-358682152.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-358682152.dhtml,https://t1.chei.com.cn/common/xh/14395.jpg
中国科学院大学,北京,中国科学院,本科|“双一流”建设高校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-956043210.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-956043210.dhtml,https://t1.chei.com.cn/common/xh/14430.jpg
北京网络职业学院,北京,北京市教育委员会,高职(专科),"https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc--infoId-6657115176,method-view,schId-1672438407.dhtml",https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1672438407.dhtml,https://t1.chei.com.cn/common/xh/14588.jpg
中国社会科学院大学,北京,中国社会科学院,本科,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1824984166.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1824984166.dhtml,https://t1.chei.com.cn/common/xh/14596.jpg
北京大学医学部,北京,教育部,本科|“双一流”建设高校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-6405527.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-6405527.dhtml,https://t1.chei.com.cn/common/xh/19001.jpg
北京邮电大学(宏福校区),北京,教育部,本科|“双一流”建设高校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-44999692.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-44999692.dhtml,https://t1.chei.com.cn/common/xh/19013.jpg
陆军装甲兵学院,北京,中央军委训练管理部,本科,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1980487211.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1980487211.dhtml,https://t1.chei.com.cn/common/xh/91006.jpg
陆军防化学院,北京,中央军委训练管理部,本科,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1980488216.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1980488216.dhtml,https://t1.chei.com.cn/common/xh/91011.jpg
战略支援部队航天工程大学,北京,中央军委训练管理部,本科,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1980498447.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1980498447.dhtml,https://t1.chei.com.cn/common/xh/91036.jpg
武警特种警察学院,北京,中央军委训练管理部,本科,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1980499148.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1980499148.dhtml,https://t1.chei.com.cn/common/xh/91041.jpg
南开大学,天津,教育部,本科|“双一流”建设高校,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-48.dhtml,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-48.dhtml,https://t1.chei.com.cn/common/xh/10055.jpg
