排名,高校名称,高校英文名称,高校等级,所在省份,高校类型,总分,办学层次,学科水平,办学资源,师资规模与结构,人才培养,科学研究,服务社会,高端人才,重大项目与成果,国际竞争力
385,泰山学院,Taishan University,,山东,综合,125.6,,,,,,,,,,
389,黑龙江科技大学,Heilongjiang University of Science and Technology,,黑龙江,理工,125.5,,,,,,,,,,
390,龙岩学院,Longyan University,,福建,综合,125,,,,,,,,,,
391,防灾科技学院,Institute of Disaster Prevention,,河北,理工,124.8,,,,,,,,,,
392,成都师范学院,Chengdu Normal University,,四川,师范,124.6,,,,,,,,,,
393,内江师范学院,Neijiang Normal University,,四川,师范,124.2,,,,,,,,,,
394,滁州学院,Chuzhou University,,安徽,师范,123.9,,,,,,,,,,
395,湖北理工学院,Hubei Polytechnic University,,湖北,理工,123.6,,,,,,,,,,
396,周口师范学院,Zhoukou Normal University,,河南,师范,123.3,,,,,,,,,,
397,河北科技师范学院,Hebei Normal University of Science and Technology,,河北,师范,123.2,,,,,,,,,,
397,江苏第二师范学院,Jiangsu Second Normal University,,江苏,师范,123.2,,,,,,,,,,
399,山东航空学院,Shandong University of Aeronautics,,山东,理工,123.1,,,,,,,,,,
400,怀化学院,Huaihua University,,湖南,综合,122.8,,,,,,,,,,
401,沈阳工程学院,Shenyang Institute of Engineering,,辽宁,理工,122.4,,,,,,,,,,
402,莆田学院,Putian University,,福建,综合,122.3,,,,,,,,,,
403,湖南城市学院,Hunan City University,,湖南,综合,122.2,,,,,,,,,,
404,北华航天工业学院,North China Institute of Aerospace Engineering,,河北,理工,121.7,,,,,,,,,,
405,韶关学院,Shaoguan University,,广东,综合,121.6,,,,,,,,,,
406,湖南工程学院,Hunan Institute of Engineering,,湖南,理工,121.4,,,,,,,,,,
407,曲靖师范学院,Qujing Normal University,,云南,师范,121.2,,,,,,,,,,
408,湖南文理学院,Hunan University of Arts and Science,,湖南,综合,120.9,,,,,,,,,,
408,浙江水利水电学院,Zhejiang University of Water Resources and Electric Power,,浙江,理工,120.9,,,,,,,,,,
410,潍坊学院,Weifang University,,山东,综合,120.8,,,,,,,,,,
411,宜宾学院,Yibin University,,四川,综合,120.7,,,,,,,,,,
412,德州学院,Dezhou University,,山东,综合,120.4,,,,,,,,,,
412,皖西学院,West Anhui University,,安徽,师范,120.4,,,,,,,,,,
414,南阳师范学院,Nanyang Normal University,,河南,师范,119.9,,,,,,,,,,
415,北部湾大学,Beibu Gulf University,,广西,综合,119.8,,,,,,,,,,
416,贵州理工学院,Guizhou Institute of Technology,,贵州,理工,119.7,,,,,,,,,,
416,湖南科技学院,Hunan University of Science and Engineering,,湖南,综合,119.7,,,,,,,,,,
418,枣庄学院,Zaozhuang University,,山东,综合,119.6,,,,,,,,,,
419,牡丹江师范学院,Mudanjiang Normal University,,黑龙江,师范,119.5,,,,,,,,,,
420,宿迁学院,Suqian University,,江苏,综合,119.4,,,,,,,,,,
421,太原师范学院,Taiyuan Normal University,,山西,师范,119.2,,,,,,,,,,
422,邵阳学院,Shaoyang University,,湖南,理工,119.1,,,,,,,,,,
423,广东第二师范学院,Guangdong University of Education,,广东,师范,119,,,,,,,,,,
423,玉林师范学院,Yulin Normal University,,广西,师范,119,,,,,,,,,,
425,石家庄学院,Shijiazhuang University,,河北,师范,118.9,,,,,,,,,,
426,通化师范学院,Tonghua Normal University,,吉林,师范,118.8,,,,,,,,,,
426,西安文理学院,Xi'an University,,陕西,师范,118.8,,,,,,,,,,
428,河南工程学院,Henan University Of Engineering,,河南,理工,118.3,,,,,,,,,,
428,肇庆学院,Zhaoqing University,,广东,综合,118.3,,,,,,,,,,
428,遵义师范学院,Zunyi Normal University,,贵州,师范,118.3,,,,,,,,,,
431,黑龙江工程学院,Heilongjiang Institute of Technology,,黑龙江,理工,117.9,,,,,,,,,,
431,昆明学院,Kunming University,,云南,综合,117.9,,,,,,,,,,
433,宁德师范学院,Ningde Normal University,,福建,师范,117.7,,,,,,,,,,
434,南阳理工学院,Nanyang Institute Of Technology,,河南,理工,117,,,,,,,,,,
434,武夷学院,Wuyi University,,福建,综合,117,,,,,,,,,,
436,黄淮学院,Huanghuai University,,河南,师范,116.8,,,,,,,,,,
437,宜春学院,Yichun University,,江西,综合,116.6,,,,,,,,,,
438,吉林化工学院,Jilin Institute of Chemical Technology,,吉林,理工,116.5,,,,,,,,,,
439,许昌学院,Xuchang University,,河南,理工,116.2,,,,,,,,,,
440,韩山师范学院,Hanshan Normal University,,广东,师范,116,,,,,,,,,,
440,上饶师范学院,Shangrao Normal University,,江西,师范,116,,,,,,,,,,
