排名,高校名称,高校英文名称,高校等级,所在省份,高校类型,总分,办学层次,学科水平,办学资源,师资规模与结构,人才培养,科学研究,服务社会,高端人才,重大项目与成果,国际竞争力
256,郑州轻工业大学,Zhengzhou University of Light Industry,,河南,理工,162.6,,,,,,,,,,
258,安徽工程大学,Anhui Polytechnic University,,安徽,理工,162.2,,,,,,,,,,
258,西华师范大学,China West Normal University,,四川,师范,162.2,,,,,,,,,,
260,大连交通大学,Dalian Jiaotong University,,辽宁,理工,162,,,,,,,,,,
261,南京工程学院,Nanjing Institute of Technology,,江苏,理工,161.9,,,,,,,,,,
262,上海海关学院,Shanghai Customs College,,上海,综合,161.2,,,,,,,,,,
263,辽宁石油化工大学,Liaoning Petrochemical University,,辽宁,理工,160.1,,,,,,,,,,
264,沈阳理工大学,Shenyang Ligong University,,辽宁,理工,159.8,,,,,,,,,,
265,绍兴文理学院,Shaoxing University,,浙江,师范,158.6,,,,,,,,,,
266,延安大学,Yan'an University,,陕西,综合,158.5,,,,,,,,,,
267,内蒙古工业大学,Inner Mongolia University of Technology,,内蒙古,理工,158.1,,,,,,,,,,
267,沈阳大学,Shenyang University,,辽宁,综合,158.1,,,,,,,,,,
269,厦门理工学院,Xiamen University of Technology,,福建,理工,157.4,,,,,,,,,,
270,西华大学,Xihua University,,四川,综合,157.3,,,,,,,,,,
271,长春工业大学,Changchun University of Technology,,吉林,理工,157.2,,,,,,,,,,
272,沈阳师范大学,Shenyang Normal University,,辽宁,师范,155.4,,,,,,,,,,
273,大连大学,Dalian University,,辽宁,综合,155.1,,,,,,,,,,
273,华北理工大学,North China University of Science and Technology,,河北,综合,155.1,,,,,,,,,,
275,安徽建筑大学,Anhui Jianzhu University,,安徽,理工,154.8,,,,,,,,,,
276,湖南工业大学,Hunan University of Technology,,湖南,理工,154.7,,,,,,,,,,
277,井冈山大学,Jinggangshan University,,江西,综合,154,,,,,,,,,,
278,山西师范大学,Shanxi Normal University,,山西,师范,153.6,,,,,,,,,,
279,辽宁工程技术大学,Liaoning Technical University,,辽宁,理工,153.3,,,,,,,,,,
280,北京农学院,Beijing University of Agriculture,,北京,农业,153.1,,,,,,,,,,
281,浙大宁波理工学院,NingboTech University,,浙江,理工,152.8,,,,,,,,,,
282,福建理工大学,Fujian University of Technology,,福建,理工,151.9,,,,,,,,,,
283,常熟理工学院,Changshu Institute of Technology,,江苏,理工,151.7,,,,,,,,,,
284,中原工学院,Zhongyuan University of Technology,,河南,理工,151.6,,,,,,,,,,
285,合肥大学,Hefei University,,安徽,理工,151.4,,,,,,,,,,
286,重庆科技大学,Chongqing University of Science and Technology,,重庆,理工,151,,,,,,,,,,
287,渤海大学,Bohai University,,辽宁,综合,150.8,,,,,,,,,,
288,云南农业大学,Yunnan Agricultural University,,云南,农业,150.5,,,,,,,,,,
289,台州学院,Taizhou University,,浙江,综合,150.4,,,,,,,,,,
