school_code,school_name
B827,山东电力高等专科学校
B828,郑州电力高等专科学校
B831,首钢工学院
B832,河北经贸大学
B833,上海杉达学院
B834,黄河科技学院
B835,上海政法学院
B837,桂林旅游学院
B838,贺州学院
B840,西安医学院
B841,民办四川天一学院
B843,九江学院
B845,广东工业大学
B846,广东外语外贸大学
B847,佛山科学技术学院
B908,天津医学高等专科学校
B916,重庆电力高等专科学校
B939,连云港师范高等专科学校
B959,鹤岗师范高等专科学校
B961,安徽医学高等专科学校
B963,亳州学院
B964,邢台医学高等专科学校
B965,湖北中医药高等专科学校
B967,焦作师范高等专科学校
B968,安徽中医药高等专科学校
B969,郑州师范学院
B999,海南职业技术学院
C026,大连民族大学
C034,湖南第一师范学院
C036,浙江交通职业技术学院
C040,广州民航职业技术学院
C044,上海第二工业大学
C047,江苏经贸职业技术学院
C048,南京特殊教育师范学院
C049,吉林交通职业技术学院
C050,上海商学院
C051,湖北职业技术学院
C052,武汉船舶职业技术学院
C053,黑龙江建筑职业技术学院
C054,九州职业技术学院
C055,长沙航空职业技术学院
C056,南通理工学院
C057,包头职业技术学院
C058,黄河水利职业技术学院
C059,广东培正学院
C062,日照职业技术学院
C063,盘锦职业技术学院
C064,成都航空职业技术学院
C070,曲阜远东职业技术学院
C072,安徽商贸职业技术学院
C074,阜阳职业技术学院
C078,硅湖职业技术学院
C105,天津中德应用技术大学
C107,贵州警察学院
C121,南方医科大学
C214,湖南医药学院
C215,重庆工业职业技术学院
C216,安徽新华学院
C217,铜陵职业技术学院
C219,安徽警官职业学院
C222,贵州交通职业技术学院
C300,湖南大众传媒职业技术学院
C301,永州职业技术学院
C302,湖南铁道职业技术学院
C303,湖南涉外经济学院
C304,湖南科技职业学院
C306,长春东方职业学院
C308,海口经济学院
C309,武昌首义学院
C310,武昌理工学院
C317,常州信息职业技术学院
C324,青岛职业技术学院
C326,威海职业学院
C328,山东职业学院
C329,山东劳动职业技术学院
C330,莱芜职业技术学院
C331,山东女子学院
C332,烟台南山学院
C335,济宁职业技术学院
C336,贵州电子信息职业技术学院
C347,恩施职业技术学院
C349,云南国土资源职业学院
C352,河北软件职业技术学院
C354,襄阳职业技术学院
C356,广西交通职业技术学院
C362,武汉生物工程学院
C364,广西工业职业技术学院
C379,广西国际商务职业技术学院
C389,河北建材职业技术学院
C391,潍坊职业学院
C392,柳州铁道职业技术学院
C396,烟台职业学院
C397,湖南交通职业技术学院
C408,河北政法职业学院
C410,合肥通用职业技术学院
C415,沧州职业技术学院
C418,河北能源职业技术学院
C424,石家庄铁路职业技术学院
C425,湖南工程职业技术学院
C440,东营职业学院
C441,聊城职业技术学院
C443,兴安职业技术大学
C448,北京农业职业学院
C451,北京政法职业学院
C453,中国劳动关系学院
C481,拉萨师范学院
C482,克拉玛依职业技术学院
C484,天津滨海职业学院
C493,上海行健职业学院
C495,上海城建职业学院
C497,上海交通职业技术学院
C499,上海电子信息职业技术学院
C510,陕西能源职业技术学院
C511,甘肃建筑职业技术学院
C514,新疆轻工职业技术学院
C539,酒泉职业技术大学
C544,宁夏理工学院
C555,云南农业职业技术学院
C560,云南经济管理学院
C561,北京财贸职业学院
C562,青海卫生职业技术学院
C564,北京北大方正软件职业技术学院
C565,北京经贸职业学院
C566,北京经济技术职业学院
C568,北京汇佳职业学院
C570,新疆能源职业技术学院
C574,广东东软学院
C575,广州康大职业技术学院
C581,河南工业和信息化职业学院
C583,上海震旦职业学院
C584,上海民远职业技术学院
C586,上海思博职业技术学院
C587,上海立达学院
C588,上海工艺美术职业学院
C593,辽宁生态工程职业学院
C594,沈阳职业技术学院
C596,保险职业学院
C599,湘潭大学兴湘学院
C600,邵阳职业技术学院
C601,湖南司法警官职业学院
C605,重庆三峡职业学院
C609,重庆电子工程职业学院
C617,广州城市理工学院
C618,广州软件学院
C619,广州南方学院
C627,福建水利电力职业技术学院
C631,厦门医学院
C636,成都东软学院
C637,四川化工职业技术学院
C638,四川水利职业技术学院
C640,内江职业技术学院
C641,四川航天职业技术学院
C649,湖南科技大学潇湘学院
C650,南华大学船山学院
C656,中南林业科技大学涉外学院
C658,湖南理工学院南湖学院
C662,张家界学院
C670,呼和浩特职业学院
C677,锡林郭勒职业学院
C679,江苏海事职业技术学院
C681,无锡科技职业学院
C682,江苏医药职业学院
C684,南通科技职业学院
C685,苏州经贸职业技术学院
C686,苏州工业职业技术学院
C687,苏州托普信息职业技术学院
C689,东南大学成贤学院
C702,无锡商业职业技术学院
C703,江苏航运职业技术学院
C709,厦门华厦学院
C711,泉州纺织服装职业学院
C712,西安欧亚学院
C713,西安外事学院
C714,西安翻译学院
C715,西京学院
C717,三亚城市职业学院
C718,大庆职业学院
C719,天津渤海职业技术学院
C720,天津电子信息职业技术学院
C721,天津机电职业技术学院
C722,天津现代职业技术学院
C723,天津公安警官职业学院
C724,黑龙江林业职业技术学院
C725,黑龙江农业职业技术学院
C726,黑龙江农业工程职业学院
C727,黑龙江农垦职业学院
C728,黑龙江司法警官职业学院
C729,齐齐哈尔工程学院
C732,天津轻工职业技术学院
C733,北京科技经营管理学院
C734,新疆警察学院
C737,荆州职业技术学院
C740,仙桃职业学院
C744,湖北轻工职业技术学院
C745,商丘职业技术学院
C746,郑州科技学院
C747,郑州工业应用技术学院
C748,平顶山工业职业技术学院
C750,周口职业技术学院
C752,湖北交通职业技术学院
C753,绵阳职业技术学院
C754,重庆海联职业技术学院
C755,重庆信息技术职业学院
C756,重庆传媒职业学院
C758,重庆城市管理职业学院
C759,重庆工程职业技术学院
C761,四川交通职业技术学院
C762,四川工商职业技术学院
C763,四川工程职业技术学院
C764,四川建筑职业技术学院
C766,江西工程学院
C768,济源职业技术学院
C777,山西工程职业学院
C779,山西应用科技学院
C781,河南司法警官职业学院
C783,石家庄城市经济职业学院
C784,河北传媒学院
C788,天津商务职业学院
C793,鹤壁职业技术学院
C794,河南工业职业技术学院
C795,南昌理工学院
C796,河北工程技术学院
C798,上海济光职业技术学院
C799,上海建桥学院
C800,上海工商外国语职业学院
C801,上海科学技术职业学院
C802,吉利学院
C803,天津国土资源和房屋职业学院
C804,南京交通职业技术学院
C805,江苏电子信息职业学院
C806,江苏农牧科技职业学院
C807,常州纺织服装职业技术学院
C809,苏州工业园区职业技术学院
C810,安徽文达信息工程学院
C813,六安职业技术学院
C816,安徽交通职业技术学院
C818,滨州职业学院
C819,山东科技职业学院
C820,重庆建筑科技职业学院
C822,黔东南民族职业技术学院
C827,陕西国防工业职业技术学院
C828,西安航空职业技术学院
C829,陕西财经职业技术学院
C830,陕西交通职业技术学院
C832,兰州外语职业学院
C833,兰州职业技术学院
C835,甘肃林业职业技术学院
C836,甘肃工业职业技术学院
C841,山东服装职业学院
C842,德州科技职业学院
C843,潍坊科技学院
C844,山东力明科技职业学院
C845,湖南邮电职业技术学院
C849,张家界航空工业职业技术学院
C850,贵州城市职业学院
C852,青海警官职业学院
C862,浙江建设职业技术学院
C864,浙江经贸职业技术学院
C866,浙江经济职业技术学院
C867,浙江旅游职业学院
C870,浙江金融职业学院
C875,湖州职业技术学院
C882,天津艺术职业学院
C883,天津交通职业学院
C887,河北旅游职业学院
C888,山西机电职业技术学院
C892,山西水利职业技术学院
C893,阳泉职业技术学院
C895,辽宁金融职业学院
C896,辽宁轨道交通职业学院
C897,辽宁广告职业学院
C898,辽宁机电职业技术学院
C899,辽宁经济职业技术学院
C901,吉林司法警官职业学院
C902,吉林电子信息职业技术学院
C903,吉林工业职业技术学院
C904,吉林工程职业学院
C906,哈尔滨电力职业技术学院
C907,哈尔滨铁道职业技术学院
C908,大兴安岭职业学院
C910,黑龙江农业经济职业学院
C911,哈尔滨职业技术学院
C912,上海农林职业技术学院
C913,上海邦德职业技术学院
C915,上海中侨职业技术大学
C919,炎黄职业技术学院
C920,南京科技职业学院
C921,正德职业技术学院
C922,钟山职业技术学院
C923,无锡南洋职业技术学院
C927,泉州华光职业学院
C928,泉州职业技术大学
C929,江西司法警官职业学院
C931,渤海船舶职业学院
C932,江西旅游商贸职业学院
C933,江西电力职业技术学院
C934,江西环境工程职业学院
C936,江西艺术职业学院
C938,江西应用科技学院
C939,江西信息应用职业技术学院
C940,江西交通职业技术学院
C941,江西财经职业学院
C942,江西应用技术职业学院
C943,江西现代职业技术学院
C944,江西工业工程职业技术学院
C945,山东圣翰财贸职业学院
C946,山东水利职业学院
C947,山东畜牧兽医职业学院
C948,郑州澍青医学高等专科学校
C952,武汉航海职业技术学院
C957,深圳信息职业技术大学
C961,广东亚视演艺职业学院
C962,广东省外语艺术职业学院
C963,四川托普信息技术职业学院
C964,四川国际标榜职业学院
C967,泸州职业技术学院
C969,成都艺术职业大学
C970,四川职业技术学院
C973,青海职业技术大学
C975,伊犁职业技术学院
C976,江西机电职业技术学院
C977,武汉铁路职业技术学院
C978,武汉软件工程职业学院
C979,湖北三峡职业技术学院
C980,随州职业技术学院
C982,湖北水利水电职业技术学院
C983,湖北城市建设职业技术学院
C984,武汉警官职业学院
C985,湖北生物科技职业学院
C987,武汉科技职业学院
C989,武汉信息传播职业技术学院
C990,武昌职业学院
C991,武汉商贸职业学院
D006,山东英才学院
D007,东营科技职业学院
D008,山东交通职业学院
D009,淄博职业学院
D010,山东外贸职业学院
D011,青岛酒店管理职业技术学院
D012,山东信息职业技术学院
D014,青岛港湾职业技术学院
D015,青岛恒星科技学院
D017,江南影视艺术职业学院
D021,浙大城市学院
D031,长沙环境保护职业技术学院
D033,湖南机电职业技术学院
D039,常德职业技术学院
D041,长沙南方职业学院
D042,潇湘职业学院
D043,湖南化工职业技术学院
D045,湖南石油化工职业技术学院
D052,贵州工业职业技术学院
D054,六盘水职业技术学院
D055,铜仁职业技术学院
D059,滁州职业技术学院
D062,安徽广播影视职业技术学院
D071,河北交通职业技术学院
D072,河北化工医药职业技术学院
D073,石家庄信息工程职业学院
D074,河北对外经贸职业学院
D075,河北美术学院
D086,宁夏职业技术学院
D087,宁夏工商职业技术大学
D093,阿克苏职业技术学院
D094,巴音郭楞职业技术学院
D100,金肯职业技术学院
D102,常州工程职业技术学院
D103,江苏农林职业技术学院
D104,江苏食品药品职业技术学院
D105,建东职业技术学院
D106,南京铁道职业技术学院
D107,徐州工业职业技术学院
D108,江苏信息职业技术学院
D110,宿迁职业技术学院
D112,南京信息职业技术学院
D113,江海职业技术学院
D114,常州机电职业技术学院
