school_code,school_name,province,city,school_nature,education_level,school_type,is_public
A653,成都体育学院,,,公办,本科,,True
A654,四川音乐学院,,,公办,本科,,True
A655,四川美术学院,,,公办,本科,,True
A656,西南民族大学,,,公办,本科,,True
A657,贵州大学,,,公办,本科,,True
A660,贵州医科大学,,,公办,本科,,True
A661,遵义医科大学,,,公办,本科,,True
A663,贵州师范大学,,,公办,本科,,True
A664,遵义师范学院,,,公办,本科,,True
A665,铜仁学院,,,公办,本科,,True
A666,兴义民族师范学院,,,公办,本科,,True
A667,安顺学院,,,公办,本科,,True
A669,凯里学院,,,公办,本科,,True
A670,黔南民族师范学院,,,公办,本科,,True
A671,贵州财经大学,,,公办,本科,,True
A672,贵州民族大学,,,公办,本科,,True
A673,云南大学,,,公办,本科,,True
A674,昆明理工大学,,,公办,本科,,True
A676,云南农业大学,,,公办,本科,,True
A677,西南林业大学,,,公办,本科,,True
A678,昆明医科大学,,,公办,本科,,True
A679,大理大学,,,公办,本科,,True
A680,云南中医药大学,,,公办,本科,,True
A681,云南师范大学,,,公办,本科,,True
A684,曲靖师范学院,,,公办,本科,,True
A685,普洱学院,,,公办,本科,,True
A686,保山学院,,,公办,本科,,True
A687,红河学院,,,公办,本科,,True
A689,云南财经大学,,,公办,本科,,True
A690,云南艺术学院,,,公办,本科,,True
A691,云南民族大学,,,公办,本科,,True
A693,西藏农牧学院,,,公办,本科,,True
A694,西藏大学,,,公办,本科,,True
A695,西藏民族大学,,,公办,本科,,True
A697,西北大学,,,公办,本科,,True
A698,西安交通大学,,,公办,本科,,True
A699,西北工业大学,,,公办,本科,,True
A700,西安理工大学,,,公办,本科,,True
A701,西安电子科技大学,,,公办,本科,,True
A702,西安工业大学,,,公办,本科,,True
A703,西安建筑科技大学,,,公办,本科,,True
A704,西安科技大学,,,公办,本科,,True
A705,西安石油大学,,,公办,本科,,True
A708,陕西科技大学,,,公办,本科,,True
A709,西安工程大学,,,公办,本科,,True
A710,长安大学,,,公办,本科,,True
A712,西北农林科技大学,,,公办,本科,,True
A716,陕西中医药大学,,,公办,本科,,True
A718,陕西师范大学,,,公办,本科,,True
A719,延安大学,,,公办,本科,,True
A720,陕西理工大学,,,公办,本科,,True
A721,宝鸡文理学院,,,公办,本科,,True
A722,咸阳师范学院,,,公办,本科,,True
A723,渭南师范学院,,,公办,本科,,True
A724,西安外国语大学,,,公办,本科,,True
A726,西北政法大学,,,公办,本科,,True
A727,西安体育学院,,,公办,本科,,True
A728,西安音乐学院,,,公办,本科,,True
A729,西安美术学院,,,公办,本科,,True
A730,兰州大学,,,公办,本科,,True
A731,兰州理工大学,,,公办,本科,,True
A732,兰州交通大学,,,公办,本科,,True
A733,甘肃农业大学,,,公办,本科,,True
A735,甘肃中医药大学,,,公办,本科,,True
A736,西北师范大学,,,公办,本科,,True
A737,兰州城市学院,,,公办,本科,,True
A738,陇东学院,,,公办,本科,,True
A739,天水师范学院,,,公办,本科,,True
A740,河西学院,,,公办,本科,,True
A741,兰州财经大学,,,公办,本科,,True
A742,西北民族大学,,,公办,本科,,True
A743,青海大学,,,公办,本科,,True
A746,青海师范大学,,,公办,本科,,True
A748,青海民族大学,,,公办,本科,,True
A749,宁夏大学,,,公办,本科,,True
